authors;year;title;journal;url
Lin, G., R. E. Wolfe, J. Dellomo, B. Tan, and P. Zhang;2020;SNPP and NOAA-20 VIIRS on-orbit geolocation trending and improvements;Earth Observing Systems XXV;http://dx.doi.org/10.1117/12.2569148
Tilton, J. C., R. E. Wolfe, G. Lin, and J. J. Dellomo;2019;On-Orbit Measurement of the Effective Focal Length and Band-to-Band Registration of Satellite-Borne Whiskbroom Imaging Sensors;IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing;https://ieeexplore.ieee.org/document/8926456
Lin, G., R. E. Wolfe, J. C. Tilton, et al.;2018;JPSS-1/NOAA-20 VIIRS early on-orbit geometric performance;Earth Observing Systems XXIII;http://dx.doi.org/10.1117/12.2320767
Tilton, J. C., R. E. Wolfe, and G. Lin;2017;On-Orbit Line Spread Function Estimation of the SNPP VIIRS Imaging System From Lake Pontchartrain Causeway Bridge Images;IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing;http://dx.doi.org/10.1109/jstars.2017.2729879
Tilton, J. C., R. E. Wolfe, G. G. Lin, and Z. A. Yin;2017;On-orbit measurement of the focal length of the SNPP VIIRS instrument;2017 IEEE International Geoscience and Remote Sensing Symposium (IGARSS);http://dx.doi.org/10.1109/igarss.2017.8127890
Pahlevan, N., S. Sarkar, S. Devadiga, et al.;2017;Impact of Spatial Sampling on Continuity of MODISâ€“VIIRS Land Surface Reflectance Products: A Simulation Approach;IEEE Transactions on Geoscience and Remote Sensing;http://dx.doi.org/10.1109/tgrs.2016.2604214
Lin, G., and R. E. Wolfe;2016;JPSS-1 VIIRS at-launch geometric performance;Earth Observing Systems XXI;http://dx.doi.org/10.1117/12.2238804
Lin, G., R. E. Wolfe, and J. C. Tilton;2016;Trending of SNPP ephemeris and its implications on VIIRS geometric performance;Earth Observing Systems XXI;http://dx.doi.org/10.1117/12.2239043
Cao, C., F. DeLuccia, X. Xiong, R. E. Wolfe, and F. Weng;2014;Early On-Orbit Performance of the Visible Infrared Imaging Radiometer Suite Onboard the Suomi National Polar-Orbiting Partnership (S-NPP) Satellite;IEEE Trans. Geosci. Remote Sensing;https://ieeexplore.ieee.org/document/6522157
Lin, G., R. E. Wolfe, P. T. Krishna, and M. Nishihama;2013;SNPP VIIRS spectral bands co-registration and spatial response characterization;Earth Observing Systems XVIII;http://dx.doi.org/10.1117/12.2023367
Wolfe, R., G. Lin, M. Nishihama, et al.;2013;Suomi NPP VIIRS prelaunch and on-orbit geometric calibration and characterization;Journal of Geophysical Research: Atmospheres;http://dx.doi.org/10.1002/jgrd.50873
Wolfe, R. E., M. Nishihama, G. Lin, K. P. Tewari, and E. Montano;2012;MODIS and VIIRS geometric performance comparison;Geoscience and Remote Sensing Symposium (IGARSS), 2012 IEEE International;http://dx.doi.org/10.1109/IGARSS.2012.6352484
Wolfe, R. E., G. Lin, M. Nishihama, K. P. Tewari, and E. Montano;2012;NPP VIIRS early on-orbit geometric performance;Proc. SPIE 8510, Earth Observing Systems XVII;http://dx.doi.org/10.1117/12.929925
Nishihama, M., and R. E. Wolfe;2011;MODIS and VIIRS geolocation error and long-term trend analysis with automated correction techniques using Kalman filtering;2011 IEEE International Geoscience and Remote Sensing Symposium;http://dx.doi.org/10.1109/igarss.2011.6050109 
Lin, G., R. E. Wolfe, and M. Nishihama;2011;NPP VIIRS geometric performance status;Proc. SPIE 8153, Earth Observing Systems XVI;http://dx.doi.org/10.1117/12.894652
Wolfe, R. E., S. Devadiga, G. Ye, E. J. Masuoka, and R. J. Schweiss;2010;Evaluation of the VIIRS Land algorithms at Land PEATE;2010 IEEE International Geoscience and Remote Sensing Symposium;http://dx.doi.org/10.1109/igarss.2010.5652831
Sikorski, R. J., K.-F. Chiang, M. Nishihama, et al.;2010;An overview of NASA NPP SDS-NICSE activities on VIIRS SDR assessment;2010 IEEE International Geoscience and Remote Sensing Symposium;http://dx.doi.org/10.1109/igarss.2010.5652599